Date,"Total membership","Full Members",Guests,"Daily active members","Daily members posting messages","Weekly active members","Weekly members posting messages","Messages in public channels","Messages in private channels","Messages in shared channels","Messages in DMs","Percent of messages, public channels","Percent of messages, private channels","Percent of messages, DMs","Percent of views, public channels","Percent of views, private channels","Percent of views, DMs","Files uploaded","Messages posted by members",Name,"Public channels, single-workspace","Messages posted","Messages posted by apps"
2019-12-30,617,564,53,20,4,62,12,14,13,0,0,0.5185,0.4815,0,0.5669,0.4268,0.0064,1,27,0,190,72,3
2019-12-31,617,564,53,22,1,60,12,0,3,0,0,0,1,0,0.6148,0.3443,0.041,0,3,0,190,27,4
2020-01-01,617,564,53,14,3,58,11,0,2,0,2,0,0.5,0.5,0.5053,0.4316,0.0632,2,4,0,190,33,4
2020-01-02,617,564,53,29,14,64,18,23,8,0,92,0.187,0.065,0.748,0.3753,0.2517,0.373,11,123,0,191,200,21
2020-01-03,617,564,53,28,10,66,18,27,5,0,122,0.1753,0.0325,0.7922,0.3389,0.1098,0.5513,13,154,0,191,274,19
2020-01-04,617,564,53,14,4,65,19,0,1,0,13,0,0.0714,0.9286,0.3864,0.2955,0.3182,0,14,0,191,28,0
2020-01-05,617,564,53,16,4,60,18,5,0,0,38,0.1163,0,0.8837,0.2708,0.2778,0.4514,7,43,0,191,65,0
2020-01-06,617,564,53,37,21,64,25,30,67,0,704,0.0375,0.0836,0.8789,0.1528,0.186,0.6612,29,801,0,191,959,94
2020-01-07,617,564,53,39,26,64,31,70,16,0,202,0.2431,0.0556,0.7014,0.4134,0.186,0.4006,11,288,0,191,426,95
2020-01-08,617,564,53,48,27,74,34,144,60,0,778,0.1466,0.0611,0.7923,0.2962,0.0897,0.6142,24,982,0,192,1141,61
2020-01-09,617,564,53,37,24,77,36,83,47,0,349,0.1733,0.0981,0.7286,0.2404,0.2038,0.5557,69,479,0,192,702,141
2020-01-10,617,564,53,41,25,82,41,55,86,0,428,0.0967,0.1511,0.7522,0.2339,0.2415,0.5246,27,569,0,192,704,87
2020-01-11,617,564,53,20,4,84,43,6,0,0,2,0.75,0,0.25,0.5385,0.4017,0.0598,0,8,0,192,27,12
2020-01-12,617,564,53,24,7,89,45,0,0,0,32,0,0,1,0.3559,0.3051,0.339,2,32,0,192,42,0
2020-01-13,617,564,53,54,27,92,47,32,82,0,443,0.0575,0.1472,0.7953,0.2011,0.2722,0.5267,10,557,0,193,693,40
2020-01-14,617,564,53,47,32,93,49,93,50,0,741,0.1052,0.0566,0.8382,0.2605,0.1409,0.5986,124,884,0,192,1303,338
2020-01-15,619,566,53,47,30,93,48,103,19,0,1041,0.0886,0.0163,0.8951,0.2061,0.0543,0.7396,72,1163,0,191,1433,167
2020-01-16,619,566,53,58,28,92,48,67,108,0,240,0.1614,0.2602,0.5783,0.3418,0.3021,0.3561,188,415,0,191,1072,567
2020-01-17,618,565,53,48,24,94,47,65,103,0,559,0.0894,0.1417,0.7689,0.2246,0.213,0.5624,45,727,0,191,1008,138
2020-01-18,618,565,53,27,10,95,45,5,5,0,12,0.2273,0.2273,0.5455,0.5988,0.2216,0.1796,1,22,0,191,64,27
2020-01-19,618,565,53,19,4,92,44,6,0,0,0,1,0,0,0.8736,0.1034,0.023,0,6,0,191,50,7
2020-01-20,618,565,53,38,11,90,43,10,1,0,39,0.2,0.02,0.78,0.507,0.2133,0.2797,1,50,0,191,167,11
2020-01-21,619,566,53,57,32,90,42,82,91,0,543,0.1145,0.1271,0.7584,0.2641,0.2132,0.5227,29,716,0,191,933,85
2020-01-22,620,567,53,60,32,94,46,82,45,0,678,0.1019,0.0559,0.8422,0.2556,0.1214,0.623,78,805,0,192,1244,337
2020-01-23,621,568,53,62,33,99,47,89,54,0,703,0.1052,0.0638,0.831,0.2428,0.1275,0.6297,39,846,0,192,1080,155
2020-01-24,621,568,53,63,34,102,50,67,23,0,845,0.0717,0.0246,0.9037,0.2162,0.1025,0.6813,33,935,0,192,1142,165
2020-01-25,621,568,53,32,14,100,50,11,2,0,23,0.3056,0.0556,0.6389,0.4071,0.4071,0.1858,2,36,0,192,47,3
2020-01-26,621,568,53,26,5,101,50,10,12,0,31,0.1887,0.2264,0.5849,0.3966,0.4095,0.194,0,53,0,192,73,12
2020-01-27,630,577,53,71,36,119,55,126,121,0,505,0.1676,0.1609,0.6715,0.3252,0.2248,0.45,102,752,0,192,1119,290
2020-01-28,632,579,53,63,33,127,61,40,120,0,575,0.0544,0.1633,0.7823,0.2288,0.2207,0.5505,49,735,0,193,937,157
2020-01-29,632,579,53,72,35,138,65,86,46,0,698,0.1036,0.0554,0.841,0.292,0.1152,0.5929,87,830,0,193,1164,284
2020-01-30,635,582,53,74,38,136,71,133,79,0,495,0.1881,0.1117,0.7001,0.4279,0.1373,0.4348,66,707,0,193,1019,220
2020-01-31,639,586,53,83,35,138,70,76,27,0,257,0.2111,0.075,0.7139,0.4846,0.1304,0.385,96,360,0,193,791,366
2020-02-01,642,589,53,58,7,149,69,4,3,0,11,0.2222,0.1667,0.6111,0.7053,0.1449,0.1498,0,18,0,193,46,15
2020-02-02,642,589,53,46,10,148,71,21,3,0,30,0.3889,0.0556,0.5556,0.6901,0.0868,0.2231,4,54,0,193,87,22
2020-02-03,643,590,53,92,48,153,81,102,83,0,525,0.1437,0.1169,0.7394,0.3551,0.1815,0.4634,80,710,0,191,1176,323
2020-02-04,649,596,53,92,34,157,78,131,51,0,548,0.1795,0.0699,0.7507,0.3847,0.1315,0.4838,41,730,0,191,940,144
2020-02-05,652,599,53,102,44,163,82,214,116,0,1029,0.1575,0.0854,0.7572,0.3205,0.1347,0.5447,92,1359,0,191,1821,379
2020-02-06,652,599,53,85,45,168,84,66,74,0,346,0.1358,0.1523,0.7119,0.3911,0.2292,0.3796,87,486,0,191,857,288
2020-02-07,656,603,53,107,52,174,89,190,138,0,849,0.1614,0.1172,0.7213,0.3489,0.183,0.4681,171,1177,0,191,1885,630
2020-02-08,657,604,53,69,10,175,89,25,0,0,47,0.3472,0,0.6528,0.7368,0.0709,0.1922,7,72,0,191,180,72
2020-02-09,659,606,53,70,19,175,92,21,17,0,92,0.1615,0.1308,0.7077,0.6357,0.1025,0.2619,19,130,0,191,242,81
2020-02-10,662,609,53,108,50,180,100,47,116,0,665,0.0568,0.1401,0.8031,0.2835,0.1957,0.5208,61,828,0,191,1193,264
2020-02-11,662,609,53,110,50,180,101,119,103,0,544,0.1554,0.1345,0.7102,0.3525,0.2238,0.4236,28,766,0,192,1059,195
2020-02-12,663,610,53,117,61,181,110,131,106,0,669,0.1446,0.117,0.7384,0.335,0.172,0.493,115,906,0,193,1430,432
2020-02-13,663,610,53,101,53,182,114,116,67,0,779,0.1206,0.0696,0.8098,0.3402,0.146,0.5138,215,962,0,193,1703,630
2020-02-14,663,610,53,102,55,181,113,102,110,0,768,0.1041,0.1122,0.7837,0.3142,0.1766,0.5093,211,980,0,193,1856,777
2020-02-15,663,610,53,47,22,180,115,5,5,0,26,0.1389,0.1389,0.7222,0.5347,0.2228,0.2426,0,36,0,193,89,45
2020-02-16,663,610,53,50,9,177,115,7,3,0,20,0.2333,0.1,0.6667,0.5708,0.2478,0.1814,4,30,0,193,65,24
2020-02-17,663,610,53,68,16,171,108,23,41,0,89,0.1503,0.268,0.5817,0.3927,0.2931,0.3142,5,153,0,193,254,53
2020-02-18,663,610,53,103,55,174,104,157,125,0,487,0.2042,0.1625,0.6333,0.4023,0.241,0.3567,39,769,0,194,965,135
2020-02-19,664,611,53,111,54,169,97,150,165,0,927,0.1208,0.1329,0.7464,0.3045,0.1939,0.5016,168,1242,0,191,1873,540
2020-02-20,666,612,54,114,48,174,98,101,64,0,569,0.1376,0.0872,0.7752,0.3952,0.1695,0.4354,133,734,0,191,1267,451
2020-02-21,668,614,54,116,53,175,104,71,147,0,615,0.0852,0.1765,0.7383,0.349,0.2291,0.4218,55,833,0,191,1058,152
2020-02-22,668,614,54,64,20,174,103,36,25,0,37,0.3673,0.2551,0.3776,0.6474,0.2351,0.1175,8,98,0,191,140,21
2020-02-23,669,615,54,56,17,175,102,37,11,0,86,0.2761,0.0821,0.6418,0.5126,0.1849,0.3025,1,134,0,191,158,12
2020-02-24,669,615,54,110,54,177,110,35,73,0,304,0.085,0.1772,0.7379,0.4168,0.2388,0.3443,324,412,0,191,1449,953
2020-02-25,669,615,54,104,54,175,104,128,131,0,569,0.1546,0.1582,0.6872,0.3261,0.2466,0.4273,59,828,0,191,1099,198
2020-02-26,669,615,54,108,63,171,107,364,79,0,1101,0.2358,0.0512,0.7131,0.3259,0.1289,0.5452,93,1544,0,192,1978,333
2020-02-27,670,616,54,114,58,173,113,96,86,0,675,0.112,0.1004,0.7876,0.3065,0.1834,0.5101,126,857,0,192,1325,347
2020-02-28,670,616,54,100,49,173,112,101,151,0,585,0.1207,0.1804,0.6989,0.4105,0.2179,0.3716,112,837,0,192,1225,284
2020-02-29,670,616,54,47,9,172,112,5,6,0,18,0.1724,0.2069,0.6207,0.6256,0.2085,0.1659,17,29,0,192,98,12
2020-03-01,670,616,54,67,9,179,114,5,4,0,9,0.2778,0.2222,0.5,0.7239,0.1791,0.097,10,18,0,192,73,33
2020-03-02,670,616,54,96,50,176,109,80,153,0,696,0.0861,0.1647,0.7492,0.2867,0.2302,0.4831,170,929,0,192,1594,576
2020-03-03,670,616,54,108,58,179,110,98,69,0,482,0.151,0.1063,0.7427,0.3941,0.1725,0.4334,17,649,0,192,742,51
2020-03-04,670,616,54,92,56,177,106,103,109,0,1021,0.0835,0.0884,0.8281,0.2319,0.1674,0.6007,51,1233,0,192,1489,190
2020-03-05,670,616,54,115,57,177,109,108,196,0,715,0.106,0.1923,0.7017,0.3303,0.2184,0.4513,126,1019,0,193,1507,361
2020-03-06,670,616,54,102,49,177,108,107,182,0,437,0.1474,0.2507,0.6019,0.4337,0.2503,0.316,128,726,0,193,1130,311
2020-03-07,670,616,54,54,12,175,109,7,55,0,34,0.0729,0.5729,0.3542,0.4227,0.4161,0.1612,4,96,0,193,134,18
2020-03-08,671,617,54,41,18,174,110,10,228,0,287,0.019,0.4343,0.5467,0.149,0.4765,0.3745,1,525,0,193,578,40
2020-03-09,672,618,54,101,52,175,120,67,198,0,767,0.0649,0.1919,0.7432,0.2658,0.261,0.4732,46,1032,0,194,1237,141
2020-03-10,672,618,54,167,68,198,128,213,233,0,868,0.1621,0.1773,0.6606,0.4392,0.2108,0.35,77,1314,0,194,1782,405
2020-03-11,673,619,54,113,64,200,137,128,230,0,858,0.1053,0.1891,0.7056,0.3009,0.2747,0.4244,193,1216,0,195,1975,672
2020-03-12,673,619,54,119,45,199,131,99,355,0,987,0.0687,0.2464,0.6849,0.2737,0.2901,0.4363,25,1441,0,195,1916,390
2020-03-13,673,619,54,90,39,197,122,186,223,0,838,0.1492,0.1788,0.672,0.3618,0.2503,0.388,30,1247,0,195,1567,264
2020-03-14,673,619,54,56,16,199,123,15,45,0,119,0.0838,0.2514,0.6648,0.5088,0.2261,0.265,16,179,0,195,334,129
2020-03-15,674,620,54,55,16,199,122,31,29,0,496,0.0558,0.0522,0.8921,0.2691,0.1039,0.6271,8,556,0,195,618,39
2020-03-16,674,620,54,133,50,207,127,183,579,0,2223,0.0613,0.194,0.7447,0.2354,0.2554,0.5092,33,2985,0,195,3413,307
2020-03-17,674,620,54,114,50,197,110,149,256,0,1483,0.0789,0.1356,0.7855,0.2493,0.1991,0.5516,22,1888,0,195,2390,400
2020-03-18,675,621,54,109,49,198,93,101,368,1,1387,0.0544,0.1983,0.7473,0.2284,0.2481,0.5235,16,1856,0,196,2269,301
2020-03-19,675,621,54,118,51,195,95,172,365,0,1631,0.0793,0.1684,0.7523,0.238,0.2523,0.5098,43,2168,0,196,2626,327
2020-03-20,675,621,54,100,54,195,94,140,293,0,1201,0.0857,0.1793,0.735,0.2665,0.268,0.4655,37,1634,0,196,1952,226
2020-03-21,675,621,54,69,19,198,94,10,78,0,111,0.0503,0.392,0.5578,0.3914,0.3264,0.2821,5,199,0,196,296,82
2020-03-22,675,621,54,57,21,198,96,44,61,0,589,0.0634,0.0879,0.8487,0.2489,0.1029,0.6482,5,694,0,196,725,13
2020-03-23,677,623,54,108,60,189,98,173,502,25,1702,0.0728,0.2112,0.716,0.2651,0.2621,0.4728,61,2377,0,196,2932,365
2020-03-24,678,624,54,107,53,190,100,138,443,5,1273,0.0744,0.2389,0.6866,0.2957,0.2788,0.4255,36,1854,0,196,2195,208
2020-03-25,679,625,54,105,61,184,103,189,466,9,1360,0.0938,0.2313,0.6749,0.2639,0.2665,0.4696,39,2015,0,198,2432,178
2020-03-26,679,625,54,111,58,191,103,211,142,4,1207,0.1353,0.091,0.7737,0.3541,0.163,0.483,40,1560,0,198,1949,228
2020-03-27,679,625,54,132,56,192,106,167,104,1,1129,0.1193,0.0743,0.8064,0.4198,0.123,0.4572,33,1400,0,198,1773,256
2020-03-28,679,625,54,64,19,188,108,11,1,0,52,0.1719,0.0156,0.8125,0.6978,0.0663,0.2359,4,64,0,198,152,55
2020-03-29,679,625,54,57,21,185,107,5,6,0,361,0.0134,0.0161,0.9704,0.2638,0.0412,0.695,3,372,0,198,420,22
2020-03-30,680,626,54,118,62,191,110,218,208,0,1274,0.1282,0.1224,0.7494,0.3193,0.155,0.5257,29,1700,0,198,2093,191
2020-03-31,682,628,54,139,55,200,111,113,347,0,1260,0.0657,0.2017,0.7326,0.2663,0.2716,0.4621,51,1720,0,198,2017,172
2020-04-01,681,627,54,123,62,203,109,151,230,0,1772,0.0701,0.1068,0.823,0.2847,0.1629,0.5524,47,2153,0,198,2613,315
2020-04-02,681,627,54,104,60,196,111,120,224,0,1282,0.0738,0.1378,0.7884,0.2656,0.2244,0.51,41,1626,0,198,2036,289
2020-04-03,681,627,54,95,51,189,110,102,235,0,1271,0.0634,0.1461,0.7904,0.242,0.2297,0.5284,23,1608,0,198,1911,230
2020-04-04,681,627,54,46,11,187,109,5,1,0,17,0.2174,0.0435,0.7391,0.6812,0.1353,0.1836,4,23,0,198,62,18
2020-04-05,681,627,54,43,11,187,110,4,1,0,73,0.0513,0.0128,0.9359,0.4578,0.0356,0.5067,5,78,0,198,115,18
2020-04-06,681,627,54,98,61,183,106,118,155,0,1198,0.0802,0.1054,0.8144,0.2483,0.1782,0.5735,16,1471,0,198,1707,125
2020-04-07,681,627,54,108,60,174,111,162,120,14,884,0.1389,0.1029,0.7581,0.3605,0.142,0.4975,24,1166,0,198,1445,192
2020-04-08,681,627,54,101,43,163,104,190,140,0,1286,0.1176,0.0866,0.7958,0.3332,0.1357,0.5311,33,1616,0,198,1835,100
2020-04-09,681,627,54,127,67,170,103,102,142,0,942,0.086,0.1197,0.7943,0.3397,0.1525,0.5077,34,1186,0,198,1497,205
2020-04-10,681,627,54,104,63,167,107,192,259,0,1502,0.0983,0.1326,0.7691,0.2848,0.1981,0.517,18,1953,0,198,2289,260
2020-04-11,681,627,54,81,24,168,107,7,1,0,94,0.0686,0.0098,0.9216,0.5283,0.0448,0.4269,1,102,0,198,148,21
2020-04-12,681,627,54,49,17,166,108,2,2,0,46,0.04,0.04,0.92,0.525,0.045,0.43,1,50,0,198,83,0
2020-04-13,684,630,54,111,50,170,108,120,159,2,1174,0.0826,0.1094,0.808,0.2524,0.1854,0.5621,18,1453,0,198,1634,92
2020-04-14,684,630,54,114,59,174,108,155,108,0,739,0.1547,0.1078,0.7375,0.4454,0.1251,0.4295,35,1002,0,198,1214,82
2020-04-15,685,631,54,104,56,173,113,119,124,0,791,0.1151,0.1199,0.765,0.3394,0.1733,0.4873,17,1034,0,198,1270,142
2020-04-16,685,631,54,106,51,173,111,212,311,0,912,0.1477,0.2167,0.6355,0.3838,0.2029,0.4133,37,1435,0,198,1825,264
2020-04-17,685,631,54,123,54,175,111,171,100,0,979,0.1368,0.08,0.7832,0.3687,0.1425,0.4887,46,1250,0,198,1661,184
2020-04-18,685,631,54,52,10,174,110,5,16,0,35,0.0893,0.2857,0.625,0.5399,0.2138,0.2464,8,56,0,198,101,19
2020-04-19,685,631,54,40,10,172,108,20,38,1,49,0.1869,0.3551,0.4579,0.4697,0.3298,0.2005,7,107,0,197,139,20
2020-04-20,685,631,54,99,51,169,108,185,119,0,1425,0.107,0.0688,0.8242,0.3119,0.134,0.5541,17,1729,0,197,2210,244
2020-04-21,685,631,54,109,53,171,108,127,91,0,742,0.1323,0.0948,0.7729,0.4277,0.1298,0.4425,26,960,0,197,1213,138
2020-04-22,685,631,54,115,60,174,110,126,163,0,1004,0.0974,0.1261,0.7765,0.3341,0.1621,0.5037,43,1293,0,198,1628,229
2020-04-23,685,631,54,112,61,176,108,178,398,0,1201,0.1002,0.224,0.6759,0.2866,0.2342,0.4792,66,1777,0,199,2078,194
2020-04-24,685,631,54,117,51,171,103,167,300,0,1368,0.091,0.1635,0.7455,0.2958,0.1971,0.5071,91,1835,0,199,2119,115
2020-04-25,685,631,54,49,13,172,106,21,0,0,15,0.5833,0,0.4167,0.7417,0.1476,0.1107,17,36,0,199,71,13
2020-04-26,685,631,54,54,16,175,107,17,0,0,120,0.1241,0,0.8759,0.4843,0.0545,0.4612,4,137,0,199,220,57
2020-04-27,685,631,54,109,53,175,104,144,286,0,928,0.106,0.2106,0.6834,0.2755,0.2783,0.4462,22,1358,0,199,1703,235
2020-04-28,685,631,54,109,54,170,108,186,251,0,1089,0.1219,0.1645,0.7136,0.349,0.2124,0.4386,46,1526,0,199,1830,207
2020-04-29,685,631,54,110,58,167,105,158,298,0,1358,0.0871,0.1643,0.7486,0.2468,0.2114,0.5419,51,1814,0,199,2065,102
2020-04-30,685,631,54,124,60,168,104,124,268,0,1070,0.0848,0.1833,0.7319,0.2687,0.2713,0.46,45,1462,0,199,1695,133
2020-05-01,685,631,54,115,52,162,104,162,162,0,958,0.1264,0.1264,0.7473,0.3586,0.1642,0.4772,25,1282,0,199,1583,164
2020-05-02,685,631,54,64,17,161,102,23,17,0,50,0.2556,0.1889,0.5556,0.5587,0.1964,0.2449,6,90,0,199,136,26
2020-05-03,685,631,54,52,16,162,102,15,8,1,63,0.1744,0.093,0.7326,0.6105,0.0884,0.3011,4,86,0,199,233,36
2020-05-04,686,631,55,109,45,168,102,165,93,4,1071,0.1242,0.07,0.8059,0.3363,0.1373,0.5264,24,1329,0,199,1701,213
2020-05-05,686,631,55,104,52,167,101,115,174,0,998,0.0894,0.1352,0.7754,0.318,0.1736,0.5084,43,1287,0,199,1511,102
2020-05-06,686,631,55,102,51,167,94,145,203,0,960,0.1109,0.1552,0.7339,0.3401,0.1818,0.478,41,1308,0,199,1669,230
2020-05-07,686,631,55,114,51,167,93,163,70,0,960,0.1366,0.0587,0.8047,0.3946,0.111,0.4944,26,1193,0,199,1505,171
2020-05-08,686,631,55,105,55,164,92,128,124,0,744,0.1285,0.1245,0.747,0.3698,0.1841,0.4461,33,996,0,199,1440,311
2020-05-09,686,631,55,44,17,164,94,18,4,0,101,0.1463,0.0325,0.8211,0.4621,0.1674,0.3705,9,123,0,199,270,33
2020-05-10,686,631,55,32,11,166,94,6,9,0,12,0.2222,0.3333,0.4444,0.5668,0.341,0.0922,5,27,0,199,63,21
2020-05-11,686,631,55,104,55,163,99,105,165,0,978,0.0841,0.1322,0.7837,0.278,0.1852,0.5368,15,1248,0,199,1523,178
2020-05-12,686,631,55,105,50,167,103,205,145,0,1010,0.1507,0.1066,0.7426,0.3379,0.1702,0.492,21,1360,0,200,1522,66
2020-05-13,686,631,55,97,51,167,104,169,139,0,789,0.1541,0.1267,0.7192,0.3195,0.1889,0.4916,15,1097,0,200,1301,119
2020-05-14,686,631,55,103,51,163,104,102,147,0,1515,0.0578,0.0833,0.8588,0.2087,0.1424,0.6489,34,1764,0,200,2080,96
2020-05-15,686,631,55,104,51,166,100,50,130,0,877,0.0473,0.123,0.8297,0.2295,0.1871,0.5834,28,1057,0,200,1303,154
2020-05-16,686,631,55,37,15,164,100,9,1,0,25,0.2571,0.0286,0.7143,0.497,0.142,0.3609,3,35,0,200,86,6
2020-05-17,686,631,55,31,11,162,99,5,3,0,19,0.1852,0.1111,0.7037,0.5878,0.1419,0.2703,1,27,0,200,45,6
2020-05-18,686,631,55,84,45,165,94,71,103,0,1095,0.0559,0.0812,0.8629,0.2474,0.126,0.6265,56,1269,0,200,1555,81
2020-05-19,686,631,55,88,43,162,90,88,133,0,1167,0.0634,0.0958,0.8408,0.2256,0.1369,0.6375,23,1388,0,200,1516,54
2020-05-20,686,631,55,106,59,163,86,207,125,0,1192,0.1358,0.082,0.7822,0.3289,0.1205,0.5506,69,1524,0,200,1857,165
2020-05-21,686,631,55,104,60,157,87,127,256,0,1135,0.0837,0.1686,0.7477,0.2727,0.1825,0.5448,30,1518,0,200,1855,205
2020-05-22,686,631,55,86,51,147,86,94,171,0,1419,0.0558,0.1015,0.8426,0.2442,0.1445,0.6113,86,1684,0,200,2165,309
2020-05-23,686,631,55,45,11,148,84,11,4,0,6,0.5238,0.1905,0.2857,0.7821,0.109,0.109,1,21,0,200,59,30
2020-05-24,686,631,55,21,4,150,85,0,2,0,10,0,0.1667,0.8333,0.5625,0.1875,0.25,0,12,0,200,26,3
2020-05-25,686,631,55,63,16,145,83,14,4,0,96,0.1228,0.0351,0.8421,0.4389,0.1022,0.4589,7,114,0,200,156,20
2020-05-26,686,631,55,97,52,156,89,86,188,0,561,0.103,0.2251,0.6719,0.3386,0.2684,0.393,18,835,0,201,1004,92
2020-05-27,686,631,55,104,56,158,91,88,90,0,1135,0.067,0.0685,0.8644,0.2466,0.0968,0.6567,28,1313,0,201,1610,191
2020-05-28,686,631,55,94,47,155,87,107,274,0,1561,0.0551,0.1411,0.8038,0.2015,0.175,0.6234,45,1942,0,201,2159,79
2020-05-29,686,631,55,91,46,156,85,93,192,14,1097,0.0673,0.1389,0.7938,0.2562,0.1619,0.5818,17,1382,0,201,1723,220
2020-05-30,686,631,55,46,9,155,84,11,2,0,165,0.0618,0.0112,0.927,0.3342,0.0632,0.6026,2,178,0,201,248,45
2020-05-31,686,631,55,43,16,155,85,6,5,0,48,0.1017,0.0847,0.8136,0.5067,0.1345,0.3587,2,59,0,201,114,18
2020-06-01,686,631,55,75,34,153,85,38,182,0,678,0.0423,0.2027,0.755,0.1617,0.3106,0.5277,19,898,0,202,1112,86
2020-06-02,686,631,55,81,35,147,80,57,253,4,1140,0.0393,0.1745,0.7862,0.1638,0.2478,0.5884,9,1450,0,202,1586,35
2020-06-03,686,631,55,77,47,138,78,60,253,9,1222,0.0391,0.1648,0.7961,0.1479,0.2299,0.6222,10,1535,0,203,1685,80
2020-06-04,686,631,55,78,34,137,76,100,173,0,633,0.1104,0.1909,0.6987,0.25,0.2291,0.5209,0,906,0,203,1102,91
2020-06-05,686,631,55,53,29,133,70,81,163,2,1059,0.0622,0.1251,0.8127,0.1452,0.209,0.6458,4,1303,0,203,1460,60
2020-06-06,686,631,55,37,9,134,68,3,2,0,20,0.12,0.08,0.8,0.5633,0.1456,0.2911,1,25,0,203,64,6
2020-06-07,686,631,55,25,7,135,67,5,2,0,19,0.1923,0.0769,0.7308,0.5495,0.0989,0.3516,0,26,0,203,60,0
2020-06-08,687,632,55,78,39,137,71,34,108,12,1243,0.0245,0.078,0.8975,0.1466,0.1291,0.7243,1,1385,0,203,1693,99
2020-06-09,687,632,55,76,35,134,67,93,192,8,1466,0.0531,0.1097,0.8372,0.1376,0.1827,0.6797,1,1751,0,203,1992,109
2020-06-10,687,632,55,87,37,137,63,55,87,3,439,0.0947,0.1497,0.7556,0.34,0.1706,0.4894,0,581,0,203,765,110
2020-06-11,690,633,57,78,40,132,64,116,118,43,1174,0.0824,0.0838,0.8338,0.1975,0.1456,0.6569,2,1408,0,203,1568,76
2020-06-12,690,633,57,65,32,138,64,141,104,54,961,0.1169,0.0862,0.7968,0.3149,0.1297,0.5554,0,1206,0,203,1404,145
2020-06-13,690,633,57,41,8,136,65,5,0,0,29,0.1471,0,0.8529,0.8071,0.0429,0.15,1,34,0,203,83,38
2020-06-14,690,633,57,24,4,136,66,3,0,0,11,0.2143,0,0.7857,0.7576,0.0152,0.2273,0,14,0,203,31,9
2020-06-15,694,637,57,90,48,135,74,160,154,6,1104,0.1128,0.1086,0.7786,0.3412,0.196,0.4627,12,1418,0,203,1673,158
2020-06-16,696,638,58,91,44,138,78,135,99,28,1208,0.0936,0.0687,0.8377,0.3025,0.1594,0.538,6,1442,0,203,1617,70
2020-06-17,696,638,58,77,49,134,78,205,187,4,1213,0.1277,0.1165,0.7558,0.3166,0.2399,0.4435,4,1605,0,203,1854,121
